sample_idx,lambda_idx,lambda_nm,score,center_score,shape_score,edge_score,bandwidth_score,coef_a,fit_mse,r2
138,0,1000.0,0.18829619884490967,0.17534305155277252,0.0,0.8309037089347839,0.18829619884490967,1.2303133010864258,0.17765727639198303,-3.8107690811157227
139,0,1000.0,0.21552033722400665,0.2513597011566162,0.0,0.6470452547073364,0.21552033722400665,1.05266535282135,0.129570871591568,-1.1225789785385132
140,0,1000.0,0.0509580634534359,0.0,0.0,0.5095806121826172,0.0509580634534359,0.7743154168128967,0.32462164759635925,-3.109558582305908
141,0,1000.0,0.042868852615356445,0.0,0.0,0.42868852615356445,0.042868852615356445,0.9654651284217834,0.4605943262577057,-9.292683601379395
142,0,1000.0,0.818695068359375,0.7849829196929932,0.8586920499801636,0.9009771943092346,0.818695068359375,1.183057188987732,0.01571521908044815,0.8586920499801636
143,0,1000.0,0.566211462020874,0.7322551012039185,0.20447885990142822,0.6551474928855896,0.566211462020874,1.237856149673462,0.05994337052106857,0.20447885990142822
144,0,1000.0,0.03730948641896248,0.0,0.0,0.3730948567390442,0.03730948641896248,0.9732955694198608,0.43591374158859253,-7.871539115905762
145,0,1000.0,0.11987747251987457,0.03658970072865486,0.0,0.9792365431785583,0.11987747251987457,1.455186128616333,0.3880067467689514,-1307.2601318359375
146,0,1000.0,0.06122472137212753,0.0,0.0,0.6122472286224365,0.06122472137212753,0.9719635248184204,0.25473594665527344,-7.585602283477783
147,0,1000.0,0.0285393875092268,0.0,0.0,0.2853938937187195,0.0285393875092268,0.6579606533050537,0.38374555110931396,-4.692268371582031
148,0,1000.0,0.036270566284656525,0.0,0.0,0.36270567774772644,0.036270566284656525,0.8191932439804077,0.27430832386016846,-4.550698280334473
149,0,1000.0,0.10253185033798218,0.009032638743519783,0.0,0.9711226224899292,0.10253185033798218,1.314839482307434,0.3762523829936981,-8.84259033203125
150,0,1000.0,0.04956420138478279,0.0,0.0,0.4956420063972473,0.04956420138478279,0.8276408910751343,0.38060131669044495,-5.333591938018799
151,0,1000.0,0.08143065869808197,0.0,0.0,0.8143066167831421,0.08143065869808197,1.3023970127105713,0.3763103783130646,-62.610595703125
152,0,1000.0,0.18611867725849152,0.1640707403421402,0.0,0.876762330532074,0.18611867725849152,1.3617079257965088,0.2567300498485565,-11.713418960571289
153,0,1000.0,0.09442031383514404,0.0,0.0,0.9442031383514404,0.09442031383514404,1.4281917810440063,0.42311275005340576,-887.6043090820312
154,0,1000.0,0.05618599057197571,0.0,0.0,0.5618599057197571,0.05618599057197571,0.9874386191368103,0.23354507982730865,-5.525892734527588
155,0,1000.0,0.16797040402889252,0.14110028743743896,0.0,0.8331023454666138,0.16797040402889252,1.216926097869873,0.17342664301395416,-2.399996042251587
156,0,1000.0,0.0800800621509552,0.0,0.0,0.800800621509552,0.0800800621509552,1.3431673049926758,0.42856791615486145,-144.7632598876953
157,0,1000.0,0.08223027735948563,0.0,0.0,0.8223028182983398,0.08223027735948563,1.4004913568496704,0.35866624116897583,-97.76359558105469
158,0,1000.0,0.1914205104112625,0.2160090059041977,0.0,0.618151068687439,0.1914205104112625,1.1778150796890259,0.18139415979385376,-2.0484137535095215
159,0,1000.0,0.5292199850082397,0.7250875234603882,0.0,0.9416744112968445,0.5292199850082397,1.4161951541900635,0.37111836671829224,-11.527140617370605
160,0,1000.0,0.0745372399687767,0.0,0.0,0.7453724145889282,0.0745372399687767,1.1003366708755493,0.32727861404418945,-13.583168029785156
161,0,1000.0,0.09173721075057983,0.0,0.0,0.9173721075057983,0.09173721075057983,1.3910770416259766,0.4295959770679474,-160.83859252929688
